Date,Open,High,Low,Close
9/17/2018,108380,108400,108380,108390
9/17/2018,108360,108380,108360,108360
9/17/2018,108390,108400,108380,108400
9/17/2018,108390,108400,108370,108400
9/17/2018,108410,108440,108390,108390
9/17/2018,108390,108400,108360,108360
9/17/2018,108380,108390,108350,108380
9/17/2018,108380,108410,108350,108410
9/17/2018,108410,108410,108350,108380
9/17/2018,108350,108350,108320,108320
9/17/2018,108340,108360,108310,108320
9/17/2018,108300,108320,108280,108320
9/17/2018,108330,108340,108330,108340
9/17/2018,108360,108360,108290,108290
9/17/2018,108320,108330,108270,108270
9/17/2018,108270,108330,108270,108320
9/17/2018,108330,108330,108320,108320
9/17/2018,108310,108330,108300,108300
9/17/2018,108310,108360,108310,108350
9/17/2018,108330,108330,108300,108300
9/17/2018,108280,108300,108270,108300
9/17/2018,108330,108350,108330,108350
9/17/2018,108360,108360,108360,108360
9/17/2018,108360,108380,108360,108360
9/17/2018,108360,108360,108360,108360
9/17/2018,108370,108570,108360,108530
9/17/2018,108550,108570,108520,108520
9/17/2018,108520,108540,108510,108540
9/17/2018,108510,108510,108440,108440
9/17/2018,108450,108450,108400,108410
9/17/2018,108400,108450,108400,108400
9/17/2018,108400,108400,108370,108400
9/17/2018,108370,108380,108340,108370
9/17/2018,108360,108360,108250,108250
9/17/2018,108260,108270,108250,108250
9/17/2018,108300,108370,108300,108370
9/17/2018,108340,108350,108310,108310
9/17/2018,108330,108350,108310,108340
9/17/2018,108360,108390,108350,108390
9/17/2018,108380,108380,108360,108380
9/17/2018,108370,108430,108360,108360
9/17/2018,108400,108410,108310,108340
9/17/2018,108370,108400,108370,108370
9/17/2018,108380,108390,108360,108390
9/17/2018,108380,108400,108380,108380
9/17/2018,108390,108500,108380,108440
9/17/2018,108450,108460,108330,108330
9/17/2018,108330,108330,108310,108330
9/17/2018,108340,108340,108320,108320
9/17/2018,108370,108370,108370,108370
9/17/2018,108360,108430,108340,108430
9/17/2018,108450,108460,108450,108460
9/17/2018,108480,108520,108470,108470
9/17/2018,108470,108510,108460,108490
9/17/2018,108470,108480,108420,108440
9/17/2018,108460,108460,108440,108440
9/17/2018,108440,108450,108420,108430
9/17/2018,108410,108410,108390,108390
9/17/2018,108390,108390,108360,108360
9/17/2018,108380,108430,108380,108430
9/17/2018,108460,108470,108400,108420
9/17/2018,108460,108500,108460,108460
9/17/2018,108490,108490,108460,108460
9/17/2018,108480,108540,108480,108490
9/17/2018,108510,108520,108500,108510
9/17/2018,108540,108550,108490,108490
9/17/2018,108480,108490,108470,108490
9/17/2018,108520,108540,108490,108500
9/17/2018,108500,108520,108490,108520
9/17/2018,108520,108520,108480,108480
9/17/2018,108490,108490,108430,108470
9/17/2018,108480,108520,108480,108500
9/17/2018,108510,108540,108510,108540
9/17/2018,108550,108580,108530,108570
9/17/2018,108570,108570,108500,108500
9/17/2018,108530,108530,108470,108470
9/17/2018,108480,108500,108480,108480
9/17/2018,108480,108480,108400,108400
9/17/2018,108390,108400,108340,108360
9/17/2018,108370,108400,108360,108360
9/17/2018,108370,108370,108330,108340
9/17/2018,108330,108380,108320,108360
9/17/2018,108340,108340,108280,108340
9/17/2018,108320,108340,108300,108300
9/17/2018,108310,108310,108200,108240
9/17/2018,108200,108260,108190,108250
9/17/2018,108250,108250,108200,108200
9/17/2018,108190,108190,108150,108170
9/17/2018,108160,108160,108140,108160
9/17/2018,108170,108200,108170,108200
9/17/2018,108200,108270,108200,108250
9/17/2018,108280,108330,108280,108320
9/17/2018,108310,108320,108300,108320
9/17/2018,108320,108380,108310,108350
9/17/2018,108350,108380,108330,108350
9/17/2018,108350,108370,108330,108350
9/17/2018,108330,108420,108330,108400
9/17/2018,108400,108400,108370,108400
9/17/2018,108420,108450,108410,108420
9/17/2018,108430,108460,108430,108440
9/17/2018,108470,108500,108450,108490
9/17/2018,108500,108520,108480,108480
9/17/2018,108490,108510,108480,108500
9/17/2018,108500,108550,108500,108550
9/17/2018,108540,108560,108510,108530
9/17/2018,108530,108530,108500,108500
9/17/2018,108500,108520,108490,108490
9/17/2018,108530,108540,108530,108540
9/17/2018,108530,108540,108510,108520
9/17/2018,108540,108540,108490,108520
9/17/2018,108520,108530,108520,108530
9/17/2018,108540,108550,108540,108540
9/17/2018,108530,108530,108510,108530
9/17/2018,108530,108570,108520,108570
9/17/2018,108550,108630,108540,108620
9/17/2018,108600,108640,108590,108610
9/17/2018,108610,108640,108600,108610
9/17/2018,108610,108620,108550,108570
9/17/2018,108540,108570,108540,108550
9/17/2018,108570,108580,108570,108580
9/17/2018,108570,108600,108540,108540
9/17/2018,108540,108570,108530,108570
9/17/2018,108550,108630,108540,108630
9/17/2018,108630,108650,108610,108650
